"","X","Actual_Popularity","rmse","Lasso_regression","Ridge_regression","Single_tree","Pruned_tree","Boosting","Bagging500","Bagging1000","Bagging1500","Bagging2000","RF500"
"554",554,13,21.0333348143229,31.0487228474674,31.5312126476498,30.4461193072482,30.4461193072482,34.1286115463841,35.6214333333333,35.8796523809524,36.1927793650794,36.2955345238095,34.9914
"555",555,14,15.9695014700995,26.7592582889097,26.6775529116646,30.4461193072482,30.4461193072482,27.9323003622697,32.3581833333333,30.8714666666667,31.5057777777778,31.3823583333334,28.6384
"556",556,51,20.7738924317537,30.9164909868046,31.0684733146904,30.4461193072482,30.4461193072482,31.0985132715076,29.9651333333333,29.9305,29.8656777777778,29.734875,29.3659
"557",557,36,10.5512409280218,29.373481048897,29.616795574273,30.4461193072482,30.4461193072482,24.7121733088789,23.1996333333333,23.29565,23.3601111111111,23.4526833333333,23.7131666666667
"558",558,25,8.34776917256902,19.8357618285471,19.9692235881475,15.9303079416532,15.9303079416532,17.5156182833431,15.6826,15.8646,15.7048,15.6070583333333,17.1961444444445
"559",559,10,13.0408057015512,27.7977353729708,28.2853423657451,24.7066795740561,24.7066795740561,20.119167488295,20.4402666666667,20.7178,20.6441222222222,20.64055,20.9997666666667
"560",560,12,15.1772120490734,31.7977002713363,32.1125107902519,30.4461193072482,30.4461193072482,32.6426030030794,22.4529,21.141280952381,21.7383428571429,21.8628238095238,24.1867
"561",561,31,12.5453028266077,16.3354942257681,16.1723155549043,19.1567877629063,19.1567877629063,17.1100036894046,19.9633333333333,19.3652,19.4829555555556,19.3095916666667,18.3620666666667
"562",562,0,26.0738572662475,25.8918160393486,25.7792346154351,30.4461193072482,30.4461193072482,26.4696949924923,24.1850333333333,24.634169047619,24.5246126984127,24.3947654761905,24.6038666666667
"563",563,37,7.36317825800674,28.0187585937019,27.3905197506454,30.4461193072482,30.4461193072482,28.8727565035903,29.1070666666667,30.6132333333333,30.6830777777778,30.5906666666667,30.1981666666667
"564",564,0,23.8379050162296,26.4680417627155,26.1023088647428,24.7066795740561,24.7066795740561,24.8730813833304,22.5235,22.8598476190476,22.3780761904762,22.5079904761905,22.0324
"565",565,13,2.34487879228161,15.7931290220406,15.4559786845788,15.9303079416532,15.9303079416532,16.2976132448913,14.6466,14.3112333333333,14.3395777777778,14.2616333333333,16.0320666666667
"566",566,36,17.9776606157825,21.5325291934911,21.5566358166719,15.9303079416532,15.9303079416532,17.126456269843,17.5062,17.9783833333333,17.5532111111111,17.6502333333333,18.8263666666667
"567",567,9,16.9420751078145,23.7941922233307,23.8018267569438,30.4461193072482,30.4461193072482,20.9807060864184,25.1958333333333,25.8043261904762,25.6576063492063,25.7029547619047,25.6089666666667
"568",568,16,2.40480523083681,21.5033867578971,21.628364729617,15.9303079416532,15.9303079416532,15.1402648013443,15.7032333333333,16.6327166666667,16.4416222222222,16.2735916666667,16.2573333333333
"569",569,3,8.55850979198217,5.30720250319534,5.62643534944216,15.9303079416532,15.9303079416532,9.88682059672744,12.4187,11.47865,11.4691111111111,11.4498083333333,9.0473
