"","Artist","Album_Name","Track_Title","Track_Id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","Y"
"54","Shinhwa","SHINHWA 9th","Voyage","7KrSIsYTSfbkPtPvUWE23D",0.454,0.636,2,-5.241,1,0.0613,0.0662,0,0.12,0.386,94.859,240040,4,8
"55","Shinhwa","SHINHWA 9th","다시 한 번만","1BrPeakx8t4l5F4csjQdzg",0.637,0.547,0,-5.34,0,0.0302,0.536,0,0.172,0.304,99.006,260293,4,6
"56","Shinhwa","SHINHWA 9th","Free Style #1","5DxZd5w6KAldjbVbR5JzZq",0.869,0.608,2,-8.355,1,0.909,0.194,0,0.467,0.74,91.918,50440,4,3
"57","Shinhwa","SHINHWA 9th","Run","2I4oMrSPe84Eb0s1RDpNdV",0.772,0.947,10,-3.692,0,0.099,0.121,0,0.277,0.691,120.013,216680,4,10
"58","Shinhwa","SHINHWA 9th","2 Ma Luv...","3gDIYZJnz5VBBjkWmDtJuE",0.647,0.854,1,-3.767,1,0.0356,0.0847,0,0.352,0.611,99.977,208720,4,3
"59","Shinhwa","SHINHWA 9th","We Can Get It On","5q4PY62w2a8m0GmxylSzbv",0.785,0.809,6,-4.85,1,0.0573,0.0727,0,0.3,0.467,94.933,262667,4,3
"60","Shinhwa","SHINHWA 9th","So In Love","0TynCouogbZDFU1af1754M",0.791,0.806,11,-3.109,0,0.0328,0.186,0,0.29,0.719,110.03,207587,4,4
"61","Shinhwa","SHINHWA 9th","기억나니?","6NWGoYlSY1qBSrP3P8K2aO",0.534,0.62,11,-8.617,1,0.828,0.66,0,0.565,0.682,61.877,312293,4,1
"62","Shinhwa","SHINHWA 9th","아직 못다한 이야기","4FQVBiD06FuD8WN2A8rzYo",0.76,0.354,9,-8.764,1,0.0328,0.823,0,0.116,0.697,88.002,233933,4,5
"63","Shinhwa","Winter Story 2006~2007","Girls Exclusive - Korean Version","0HByM656wHaS6YIk5QTkEb",0.808,0.91,7,-3.48,1,0.163,0.0625,0,0.0813,0.888,104.941,195684,4,2
"64","Shinhwa","Winter Story 2006~2007","예쁘잖아","7xkcIiQTE6ovytLaUhhfUk",0.745,0.823,0,-4.81,1,0.0396,0.594,0,0.146,0.702,117.982,213944,4,6
"65","Shinhwa","Winter Story 2006~2007","The Days","0i73f4w9TtQ9t6MInAxing",0.544,0.568,10,-6.467,1,0.0347,0.673,0,0.329,0.449,139.997,281862,4,4
"66","Shinhwa","Winter Story 2006~2007","The Days - Instrumental","30tSmAqpClXiL573fRm9Q4",0.568,0.352,10,-9.489,1,0.0274,0.159,0.851,0.292,0.235,139.979,279877,4,0
"67","Shinhwa","Winter Story 2006~2007","Girls Exclusive","4A0Wn2WdSh2XLxBK3BRgoF",0.794,0.835,7,-6.226,1,0.124,0.0703,0,0.0398,0.881,104.952,194143,4,1
"68","Shinhwa","Winter Story 2006~2007","Throw My Fist - Japanese Version","1FXPOjHmMOHfHyog08wPCS",0.758,0.836,6,-5.427,0,0.188,0.056,0,0.462,0.577,104.025,226457,4,2
"69","Shinhwa","Winter Story 2006~2007","Midnight Girl - Japanese Version","5dJ4t01gsrjrCeTMsHb1E7",0.76,0.537,10,-8.338,1,0.0407,0.441,0,0.113,0.65,127.96,254512,4,2
"70","Shinhwa","Winter Story 2006~2007","Paradise","1Hxfn5wJczwuAqmqXIkZn1",0.845,0.641,9,-5.201,1,0.0667,0.119,0,0.061,0.927,98.045,238891,4,1
"71","Shinhwa","Winter Story 2006~2007","僕らの心には太陽がある (Bokurano Kokoroniwa Taiyouga Aru) - Album Mix","4c4y3L7eNPDENrpn7gkMeB",0.588,0.576,7,-8.114,1,0.0376,0.659,2.17e-06,0.107,0.497,134.032,329640,4,2
"72","Shinhwa","Winter Story 2006~2007","Highway Star (Feat. Emyli)","0URb4Ijtdl2qXYUMrNrPc7",0.812,0.941,0,-5.472,1,0.0717,0.0814,0,0.0968,0.851,129.976,224210,4,1
"73","Shinhwa","Winter Story 2006~2007","Time Machine - Japanese Version","54LuHvDkLQbZEkfzHtRqBL",0.859,0.592,1,-7.347,0,0.19,0.268,0,0.0557,0.866,95.01,247642,4,1
"74","Shinhwa","Winter Story 2006~2007","The Street","6HiCDU80tqw5gWVe4iLXFP",0.694,0.591,6,-6.409,1,0.0291,0.297,0,0.326,0.528,129.931,219247,4,3
"75","Shinhwa","Winter Story 2006~2007","Sun Flower~Happy Birthday~","3rJCju27L34cPVa69eJjmr",0.746,0.84,2,-5.374,1,0.0429,0.281,0,0.0763,0.688,127.013,298346,4,1
"76","Shinhwa","Winter Story 2006~2007","Weak - 君を失くして (Kimiwo Nakushite)","3eBBSlca9HbQcmtbz79B3p",0.68,0.46,9,-6.852,0,0.0989,0.328,0,0.374,0.42,129.887,220971,4,2
"77","Shinhwa","Winter Story 2006~2007","You're My Everything","5eYnYhOwgAFWriVypeSqWU",0.726,0.652,11,-4.971,1,0.0461,0.141,0,0.102,0.422,95.972,239126,4,2
"78","Shinhwa","Winter Story 2006~2007","Once In A Lifetime - English Version","0lIQy9XglYT7sU5GVcnjSd",0.516,0.582,1,-7.373,1,0.0379,0.361,0,0.102,0.317,75.034,296439,4,5
"79","Shinhwa","Winter Story 2006~2007","Shooting Star - Yukihiro Fukutomi Remix","5JXVcvFD1KYJ8k3IDdPgE9",0.668,0.876,2,-5.41,1,0.064,0.000654,0.00179,0.132,0.475,123.004,334342,4,1
"80","Shinhwa","State Of The Art (Special Edition)","Thanks!","7yapfYNVpEB7WZPiXHYSpR",0.799,0.927,4,-4.618,0,0.114,0.4,0,0.398,0.864,107.022,226760,4,3
"81","Shinhwa","State Of The Art (Special Edition)","Your Man","1spm0Ca6o9s2jDSppUGh6V",0.685,0.817,11,-3.509,0,0.0679,0.0373,0,0.239,0.673,111.978,216347,4,5
"82","Shinhwa","State Of The Art (Special Edition)","약한 남자","4Yot3QV1Pd8rX7x3wCPIVH",0.7,0.493,9,-5.297,0,0.0716,0.356,0,0.386,0.454,130.012,219013,4,5
"83","Shinhwa","State Of The Art (Special Edition)","Once In A Lifetime","5pCFSMH7L74ENSN4cKVFPw",0.49,0.674,1,-4.564,1,0.0463,0.33,0,0.0998,0.26,74.904,287933,4,9
"84","Shinhwa","State Of The Art (Special Edition)","Doobob","2jiIT07m6YGbKHdWbLx4hI",0.683,0.886,1,-5.119,1,0.0404,0.0577,0,0.305,0.653,112.993,211813,4,2
"85","Shinhwa","State Of The Art (Special Edition)","Paradise","5mEJK2sFdxoF8iTxtdJNDg",0.84,0.72,9,-2.804,1,0.0646,0.0905,0,0.0565,0.933,98.025,238267,4,2
"86","Shinhwa","State Of The Art (Special Edition)","Highway Star","0laOveLJTsO3F3KjE4O7Hv",0.809,0.967,0,-3.633,1,0.0672,0.0484,1.05e-06,0.111,0.871,129.992,226053,4,4
"87","Shinhwa","State Of The Art (Special Edition)","Midnight Girl","1pbWsi7IlxwadLKPjGtQEy",0.763,0.582,10,-6.346,1,0.0476,0.186,0,0.139,0.572,127.948,253147,4,5
"88","Shinhwa","State Of The Art (Special Edition)","Throw My Fist","48rdMOGl6pnpihPNjzpkH9",0.819,0.822,11,-3.084,0,0.181,0.0719,0,0.113,0.854,103.973,226520,4,9
"89","Shinhwa","State Of The Art (Special Edition)","기회","6HgzrjAPrD8hFNNExHrVoI",0.78,0.591,0,-6.74,1,0.0691,0.338,0,0.0983,0.561,127.972,248533,4,2
"90","Shinhwa","State Of The Art (Special Edition)","왜 내가...","17HYK3jTy2eLhMYQsuTs3b",0.489,0.44,6,-7.375,1,0.039,0.651,2.1e-06,0.128,0.173,66.265,258773,4,2
